DateTime,Year,Month,DayofMonth,DayOfWeek,DepTime,CRSDepTime,ArrTime,CRSArrTime,FlightNum,ActualElapsedTime,CRSElapsedTime,AirTime,ArrDelay,DepDelay,Distance,TaxiIn,TaxiOut,Cancelled,Diverted,CarrierDelay,WeatherDelay,NASDelay,SecurityDelay,LateAircraftDelay
2008-1-10-17,2652568,1321,13210,5284,2279858.0,2260657,2503659.0,2494620,2876635,174940.0,176503.0,143296.0,12403.0,13641.0,966930,9188.0,22500.0,0,2,4651.0,348.0,4924.0,0.0,7068.0
2008-1-10-18,2343336,1167,11670,4668,2135551.0,2110136,2335868.0,2320279,2517589,147988.0,150043.0,120761.0,14218.0,15735.0,815050,7988.0,19299.0,0,4,5182.0,225.0,6898.0,26.0,6578.0
2008-1-10-19,2279080,1135,11350,4540,2189044.0,2163656,2363886.0,2350261,2519724,139945.0,140993.0,111630.0,14152.0,15468.0,754830,7375.0,20985.0,0,3,4110.0,640.0,6597.0,11.0,6764.0
2008-1-10-2,6024,3,30,12,682.0,578,2291.0,2175,391,909.0,897.0,797.0,76.0,64.0,6762,22.0,90.0,0,0,7.0,0.0,4.0,0.0,54.0
2008-1-10-20,1740936,867,8670,3468,1757922.0,1730750,1837226.0,1830578,2015078,102324.0,103968.0,82396.0,15528.0,17172.0,558115,5151.0,14777.0,0,0,3302.0,617.0,5596.0,0.0,8952.0
2008-1-10-21,1451784,723,7230,2892,1532656.0,1512027,1369476.0,1466479,1522688,87130.0,88132.0,70723.0,14234.0,15149.0,493832,4118.0,12299.0,0,1,5008.0,1022.0,3617.0,56.0,6274.0
2008-1-10-22,608424,303,3030,1212,675155.0,657866,419168.0,517684,681182,39893.0,40697.0,32682.0,9684.0,10489.0,254287,1715.0,5496.0,0,0,3629.0,475.0,1236.0,0.0,5300.0
2008-1-10-23,295176,147,1470,588,340503.0,333387,69651.0,160332,223181,25955.0,26865.0,22528.0,4547.0,5476.0,190741,909.0,2547.0,0,1,1872.0,56.0,477.0,0.0,2957.0
2008-1-10-25,6024,3,30,12,75.0,4734,1906.0,1879,1414,751.0,785.0,672.0,27.0,61.0,5841,15.0,64.0,0,0,46.0,0.0,0.0,0.0,0.0
2008-1-10-28,2008,1,10,4,28.0,30,612.0,602,314,224.0,212.0,194.0,10.0,-2.0,1536,7.0,23.0,0,0,,,,,
2008-1-10-29,10040,5,50,20,145.0,4465,2816.0,4700,4557,1051.0,1015.0,918.0,316.0,280.0,7725,51.0,82.0,0,0,142.0,0.0,22.0,0.0,152.0
2008-1-10-30,4016,2,20,8,60.0,80,1044.0,1057,3174,344.0,337.0,296.0,-13.0,-20.0,2569,13.0,35.0,0,0,,,,,
2008-1-10-31,2008,1,10,4,31.0,35,400.0,420,749,149.0,165.0,135.0,-20.0,-4.0,1189,6.0,8.0,0,0,,,,,
