DateTime,Year,Month,DayofMonth,DayOfWeek,DepTime,CRSDepTime,ArrTime,CRSArrTime,FlightNum,ActualElapsedTime,CRSElapsedTime,AirTime,ArrDelay,DepDelay,Distance,TaxiIn,TaxiOut,Cancelled,Diverted,CarrierDelay,WeatherDelay,NASDelay,SecurityDelay,LateAircraftDelay
2004-9-17-42,2004,9,17,5,42.0,2120,210.0,2258,1706,88.0,98,71.0,192.0,202.0,458,4,13,0,0,0,0,0,0,192
2004-9-17-43,4008,18,34,10,86.0,4165,326.0,4440,1628,180.0,215,154.0,406.0,441.0,1083,7,19,0,0,0,13,0,0,393
2004-9-17-44,6012,27,51,15,132.0,4170,1205.0,5177,5588,453.0,427,398.0,508.0,482.0,2854,16,39,0,0,13,0,35,0,460
2004-9-17-45,8016,36,68,20,180.0,6015,1523.0,4950,6656,543.0,575,462.0,813.0,845.0,3798,32,48,0,0,30,0,0,0,802
2004-9-17-46,2004,9,17,5,46.0,2245,224.0,38,330,98.0,113,83.0,106.0,121.0,665,5,10,0,0,106,0,0,0,0
2004-9-17-47,2004,9,17,5,47.0,40,611.0,606,1743,204.0,206,190.0,5.0,7.0,1635,5,9,0,0,0,0,0,0,0
2004-9-17-48,4008,18,34,10,96.0,2045,966.0,2942,3150,330.0,357,284.0,264.0,291.0,2402,15,30,0,0,0,0,0,0,271
2004-9-17-5,605208,2718,5134,1510,164884.0,174884,222506.0,226962,791650,30642.0,30898,24746.0,-1056.0,-800.0,161142,1956,3932,0,0,30,0,164,0,161
2004-9-17-52,4008,18,34,10,104.0,155,1108.0,1139,1646,384.0,404,472.0,-31.0,-11.0,3075,8,24,0,0,0,0,0,0,0
2004-9-17-53,2004,9,17,5,53.0,100,543.0,551,2408,170.0,171,148.0,-8.0,-7.0,1235,7,15,0,0,0,0,0,0,0
2004-9-17-54,2004,9,17,5,54.0,2000,144.0,2055,1772,50.0,55,32.0,289.0,294.0,157,5,12,0,0,0,0,0,0,289
2004-9-17-55,6012,27,51,15,165.0,4040,902.0,4783,3418,357.0,363,300.0,559.0,565.0,2179,16,41,0,0,0,0,0,0,546
2004-9-17-58,2004,9,17,5,58.0,45,611.0,600,1806,193.0,195,173.0,11.0,13.0,1515,8,12,0,0,0,0,0,0,0
2004-9-17-6,2410812,10827,20451,6015,759706.0,773216,1008609.0,1020278,2498724,137963.0,140082,113248.0,-3869.0,-1750.0,787338,8169,16464,0,0,610,55,1078,22,541
2004-9-17-7,2336664,10494,19822,5830,849283.0,853657,1104305.0,1108358,2079544,150222.0,152101,123309.0,-2293.0,-414.0,897526,8679,17444,0,0,1606,57,1660,0,42
2004-9-17-8,2721432,12222,23086,6790,1125602.0,1129567,1418006.0,1423932,2549639,179847.0,183205,149905.0,-1623.0,1235.0,1089216,8713,20944,0,2,2429,112,1729,0,447
2004-9-17-9,2523036,11331,21403,6295,1168017.0,1166470,1408211.0,1414542,2515216,156445.0,160212,128752.0,418.0,3273.0,926952,7586,19427,0,3,3795,41,1419,15,442
2004-9-17-n,1296588,5823,10999,3235,,846818,,945501,1654707,,64103,,,,305471,0,0,647,0,0,0,0,0,0
2004-9-18-1,30060,135,270,90,1651.0,7858,8461.0,12658,16414,2790.0,2900,2869.0,403.0,513.0,20936,80,201,0,0,33,172,32,0,245
2004-9-18-10,2204400,9900,19800,6600,1131803.0,1118233,1358055.0,1344479,2270117,134392.0,135506,107806.0,8376.0,9490.0,780205,6627,19466,0,0,2728,3360,5852,0,2182
2004-9-18-11,2174340,9765,19530,6510,1224933.0,1213465,1457149.0,1448213,2176866,139197.0,140948,115564.0,6166.0,7828.0,843262,6795,17017,0,1,2568,977,4510,9,2855
2004-9-18-12,2274540,10215,20430,6810,1395683.0,1376082,1640463.0,1624949,2356779,139260.0,142227,114817.0,9634.0,12601.0,834301,7151,17576,0,0,3008,1232,4063,0,6697
2004-9-18-13,2330652,10467,20934,6978,1543172.0,1523504,1798848.0,1784614,2382701,140036.0,144150,116977.0,8634.0,12748.0,837448,7034,17340,0,0,2562,1859,3553,0,6679
2004-9-18-14,2052096,9216,18432,6144,1464344.0,1445297,1655653.0,1646957,2043186,118600.0,123280,98073.0,8210.0,12367.0,699500,6258,14415,0,3,2725,523,2944,0,7127
2004-9-18-15,2232456,10026,20052,6684,1704018.0,1684282,1904337.0,1903734,2359923,127160.0,131312,104632.0,9536.0,13136.0,736426,6990,16398,0,8,2674,556,5196,45,6317
2004-9-18-16,2046084,9189,18378,6126,1661011.0,1643953,1830481.0,1830321,2135027,125207.0,128728,103375.0,9620.0,12658.0,738789,6205,15105,0,3,2743,852,6508,0,4751
2004-9-18-17,2174340,9765,19530,6510,1876764.0,1858574,2048176.0,2049051,2218328,134374.0,139877,110875.0,6338.0,11790.0,788226,6796,16046,0,1,3085,484,5096,0,4635
2004-9-18-18,2001996,8991,17982,5994,1827147.0,1810218,1992254.0,1980027,2054015,116807.0,122229,96100.0,5027.0,10449.0,685072,6160,14233,0,0,2592,1068,3820,0,3790
2004-9-18-19,1394784,6264,12528,4176,1340830.0,1324614,1443539.0,1441953,1558584,78689.0,82039,63429.0,6586.0,9936.0,453804,3899,10687,0,0,3189,704,2883,15,4001
2004-9-18-2,12024,54,108,36,895.0,5330,3614.0,3469,2463,1199.0,1259,1077.0,105.0,165.0,9081,42,80,0,0,99,0,17,0,37
2004-9-18-20,1366728,6138,12276,4092,1383661.0,1372074,1432697.0,1435598,1499455,75622.0,79324,60604.0,3955.0,7547.0,443354,4947,9766,0,1,2266,120,1742,0,3935
2004-9-18-21,823644,3699,7398,2466,872047.0,865899,821948.0,831855,985935,49561.0,52176,40244.0,2933.0,5268.0,310545,3661,5593,0,1,1607,230,366,0,2860
2004-9-18-22,454908,2043,4086,1362,502865.0,500928,346086.0,372716,521738,31241.0,32608,26180.0,1130.0,2497.0,216287,2757,3022,0,0,1459,0,202,0,1008
2004-9-18-23,216432,972,1944,648,249312.0,247547,68696.0,73224,268722,16904.0,17717,11354.0,152.0,965.0,124715,4854,1475,0,0,411,18,39,40,419
2004-9-18-24,2004,9,18,6,2400.0,8,545.0,600,124,225.0,232,212.0,-15.0,-8.0,1733,7,6,0,0,0,0,0,0,0
2004-9-18-25,2004,9,18,6,25.0,30,745.0,750,634,260.0,260,240.0,-5.0,-5.0,2053,4,16,0,0,0,0,0,0,0
2004-9-18-26,2004,9,18,6,26.0,30,524.0,537,700,178.0,187,164.0,-13.0,-4.0,1431,3,11,0,0,0,0,0,0,0
2004-9-18-27,4008,18,36,12,54.0,55,1181.0,1171,1586,447.0,436,398.0,10.0,-1.0,3360,15,34,0,0,0,0,0,0,0
2004-9-18-29,2004,9,18,6,29.0,30,622.0,629,1566,233.0,239,217.0,-7.0,-1.0,1874,4,12,0,0,0,0,0,0,0
2004-9-18-3,2004,9,18,6,311.0,247,726.0,710,154,195.0,203,176.0,16.0,24.0,1449,4,15,0,0,16,0,0,0,0
2004-9-18-31,2004,9,18,6,31.0,40,543.0,605,362,192.0,205,176.0,-22.0,-9.0,1589,5,11,0,0,0,0,0,0,0
2004-9-18-34,2004,9,18,6,34.0,2358,305.0,245,608,91.0,107,74.0,20.0,36.0,629,4,13,0,0,20,0,0,0,0
2004-9-18-38,4008,18,36,12,76.0,80,1625.0,1634,4102,549.0,554,503.0,-9.0,-4.0,4422,16,30,0,0,0,0,0,0,0
