DayOfWeek,Time,Year,Month,DayofMonth,DepTime,CRSDepTime,ArrTime,CRSArrTime,FlightNum,ActualElapsedTime,CRSElapsedTime,AirTime,ArrDelay,DepDelay,Distance,TaxiIn,TaxiOut,Cancelled,Diverted,CarrierDelay,WeatherDelay,NASDelay,SecurityDelay,LateAircraftDelay
2,28,2004.0,6.44,19.02,28.0,1033.4,496.66,1076.36,972.98,184.26,188.16,169.56,53.9,57.8,1350.24,6.54,15.36,0.0,0.0,10.1,2.06,8.06,0.0,36.34
2,29,2004.0,6.8478260869565215,15.652173913043478,29.0,745.2391304347826,551.0,856.9347826086956,981.195652173913,208.95652173913044,210.82608695652175,202.47826086956522,36.67391304347826,38.54347826086956,1576.4347826086957,7.739130434782608,14.391304347826088,0.0,0.0,11.891304347826088,0.32608695652173914,1.9782608695652173,0.0,25.543478260869566
2,3,2004.0,7.966666666666667,18.133333333333333,143.1,1627.7222222222222,524.2111111111111,940.4,934.3111111111111,177.77777777777777,172.67777777777778,121.9888888888889,96.92222222222222,91.82222222222222,1212.0111111111112,8.477777777777778,41.977777777777774,0.0,0.0,39.455555555555556,12.077777777777778,2.2555555555555555,0.0,45.25555555555555
2,30,2004.0,6.807017543859649,16.087719298245613,30.0,1191.140350877193,396.17543859649123,1055.7894736842106,1906.5263157894738,156.35087719298247,157.28070175438597,136.28070175438597,58.98245614035088,59.91228070175438,1110.157894736842,8.210526315789474,11.824561403508772,0.0,0.0,9.666666666666666,3.807017543859649,3.5789473684210527,0.0,43.59649122807018
2,31,2004.0,6.682926829268292,15.268292682926829,31.0,903.8536585365854,480.4878048780488,712.6585365853658,955.0,177.29268292682926,176.609756097561,169.46341463414635,37.09756097560975,36.41463414634146,1287.4146341463415,6.195121951219512,14.804878048780488,0.0,0.0,12.463414634146341,8.365853658536585,1.9268292682926829,0.0,17.48780487804878
2,32,2004.0,6.341463414634147,14.170731707317072,32.0,726.170731707317,558.0731707317074,787.219512195122,1001.1219512195122,201.1951219512195,200.5609756097561,193.8048780487805,39.146341463414636,38.51219512195122,1512.3658536585365,7.097560975609756,15.878048780487806,0.0,0.0,7.121951219512195,7.0,4.024390243902439,0.0,23.951219512195124
2,33,2004.0,6.195121951219512,17.48780487804878,33.0,623.9268292682926,534.4146341463414,730.2682926829268,1387.878048780488,193.1219512195122,196.09756097560975,180.609756097561,26.585365853658537,29.5609756097561,1471.8292682926829,6.829268292682927,13.0,0.0,0.0,6.121951219512195,0.21951219512195122,0.04878048780487805,0.07317073170731707,24.78048780487805
2,34,2004.0,6.4523809523809526,17.261904761904763,34.0,621.5238095238095,575.452380952381,828.4761904761905,1013.5,205.26190476190476,205.04761904761904,194.3095238095238,23.166666666666668,22.952380952380953,1564.9761904761904,6.333333333333333,13.19047619047619,0.0,0.0,7.095238095238095,0.0,2.5714285714285716,0.0,16.19047619047619
2,35,2004.0,6.527777777777778,16.48611111111111,35.0,982.1666666666666,485.9861111111111,1006.1111111111111,1377.6527777777778,179.875,181.72222222222223,145.83333333333334,69.31944444444444,71.16666666666667,1320.9583333333333,26.25,14.430555555555555,0.0,0.0,15.625,1.4722222222222223,5.166666666666667,0.0,50.65277777777778
2,36,2004.0,6.040816326530612,16.877551020408163,36.0,565.469387755102,585.2448979591836,772.530612244898,935.0,213.73469387755102,210.3265306122449,194.81632653061226,37.204081632653065,33.795918367346935,1596.2857142857142,7.122448979591836,15.46938775510204,0.0,0.0,13.285714285714286,1.4285714285714286,3.693877551020408,0.0,20.489795918367346
